0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:02:31 +0530] "GET /Apple/portfolio HTTP/1.1" 200 9591
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:02:39 +0530] "GET /Apple/product1?catname=Desktop HTTP/1.1" 200 4928
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:02:43 +0530] "GET /Apple/Home HTTP/1.1" 200 12770
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:03:04 +0530] "GET /Apple/Home HTTP/1.1" 200 12770
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:20:01 +0530] "GET /Apple/Home HTTP/1.1" 200 12770
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:20:01 +0530] "GET /Apple/resource/images/desktop.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:20:01 +0530] "GET /Apple/resource/images/laptop.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:20:01 +0530] "GET /Apple/resource/images/iphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:20:01 +0530] "GET /Apple/resource/images/ipad.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:20:02 +0530] "GET /Apple/resource/images/ipod.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:20:02 +0530] "GET /Apple/resource/images/accesories.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:20:10 +0530] "GET /Apple/product1?catname=Desktop HTTP/1.1" 500 5472
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:22:54 +0530] "GET /Apple/product1?catname=Desktop HTTP/1.1" 500 5566
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:25:56 +0530] "GET /Apple/product1?catname=Desktop HTTP/1.1" 500 5472
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:26:57 +0530] "GET /Apple/product1?catname=Desktop HTTP/1.1" 500 3930
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:27:29 +0530] "GET /Apple/product1?catname=Desktop HTTP/1.1" 500 3930
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:27:34 +0530] "GET /Apple/product1?catname=Desktop HTTP/1.1" 500 3930
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:27:35 +0530] "GET /Apple/product1?catname=Desktop HTTP/1.1" 500 5228
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:27:39 +0530] "GET /Apple/product1?catname=Desktop HTTP/1.1" 500 3930
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:27:43 +0530] "GET /Apple/product1?catname=Desktop HTTP/1.1" 500 3930
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:28:57 +0530] "GET /Apple/product1?catname=Desktop HTTP/1.1" 500 5573
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:29:01 +0530] "GET /Apple/product1?catname=Desktop HTTP/1.1" 500 5573
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:29:03 +0530] "GET /Apple/product1?catname=Desktop HTTP/1.1" 500 5573
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:29:26 +0530] "GET /Apple/product1?catname=Desktop HTTP/1.1" 500 5573
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:41:29 +0530] "GET /Apple/product1?catname=Desktop HTTP/1.1" 200 3819
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:43:10 +0530] "GET /Apple/product1?catname=Desktop HTTP/1.1" 200 3819
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:43:35 +0530] "GET /Apple/product1?catname=Ipad HTTP/1.1" 200 3819
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:43:40 +0530] "GET /Apple/product1?catname=Ipad HTTP/1.1" 200 3819
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:43:45 +0530] "GET /Apple/product1?catname=Accessories HTTP/1.1" 200 3819
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:43:48 +0530] "GET /Apple/product1?catname=Laptop HTTP/1.1" 200 3819
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:43:53 +0530] "GET /Apple/product1?catname=Iphone HTTP/1.1" 200 3819
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:43:57 +0530] "GET /Apple/product1?catname=Ipad HTTP/1.1" 200 3819
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:44:01 +0530] "GET /Apple/product1?catname=Ipod HTTP/1.1" 200 3819
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:46:17 +0530] "GET /Apple/product1?catname=Ipod HTTP/1.1" 200 5031
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:46:51 +0530] "GET /Apple/product1?catname=Ipod HTTP/1.1" 200 5031
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:47:35 +0530] "GET /Apple/product1?catname=Ipod HTTP/1.1" 200 4903
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:48:23 +0530] "GET /Apple/product1?catname=Ipod HTTP/1.1" 200 4902
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:48:31 +0530] "GET /Apple/productinfo?pdid={{plist.id}} HTTP/1.1" 500 4098
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:51:01 +0530] "GET /Apple/product1?catname=Ipod HTTP/1.1" 200 4902
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:56:04 +0530] "GET /Apple/product1?catname=Ipod HTTP/1.1" 200 4906
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:56:41 +0530] "GET /Apple/product1?catname=Desktop HTTP/1.1" 200 4906
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:56:45 +0530] "GET /Apple/product1?catname=Desktop HTTP/1.1" 200 4906
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:56:51 +0530] "GET /Apple/product1?catname=Accessories HTTP/1.1" 200 4906
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:56:55 +0530] "GET /Apple/product1?catname=Ipod HTTP/1.1" 200 4906
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:57:00 +0530] "GET /Apple/product1?catname=Ipad HTTP/1.1" 200 5068
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:57:05 +0530] "GET /Apple/product1?catname=Iphone HTTP/1.1" 200 5411
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:57:09 +0530] "GET /Apple/product1?catname=Laptop HTTP/1.1" 200 4906
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:57:13 +0530] "GET /Apple/product1?catname=Desktop HTTP/1.1" 200 4906
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:57:17 +0530] "GET /Apple/product1?catname=Iphone HTTP/1.1" 200 5411
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:57:21 +0530] "GET /Apple/productinfo?pdid=69 HTTP/1.1" 200 4749
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:57:21 +0530] "GET /Apple/resource/images/.jpg HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:57:38 +0530] "GET /Apple/productinfo?pdid=69 HTTP/1.1" 200 4749
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:57:38 +0530] "GET /Apple/resource/images/.jpg HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [25/Aug/2016:22:57:39 +0530] "GET /Apple/resource/images/.jpg HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [25/Aug/2016:23:05:33 +0530] "GET /Apple/productinfo?pdid=69 HTTP/1.1" 200 4799
0:0:0:0:0:0:0:1 - - [25/Aug/2016:23:05:33 +0530] "GET /Apple/resource/images/.jpg HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [25/Aug/2016:23:05:33 +0530] "GET /Apple/resource/images/.jpg HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [25/Aug/2016:23:05:50 +0530] "GET /Apple/productinfo?pdid=78 HTTP/1.1" 200 4799
